question_id,temperature,k_threads,n_non_empty,qpd_jaccard,q1,q2,q3,q4
gaia-1,0.0,4,4,0.516667,clownfish nonnative species USGS locations before 2020,Finding Nemo fish species invasive nonnative USGS,clownfish nonnative species USGS zip codes,clownfish nonnative species USGS zip codes
gaia-1,0.3,4,4,0.368717,clownfish nonnative species USGS locations before 2020,clownfish invasive species USGS nonnative locations before 2020,clownfish nonnative species USGS locations zip codes,clownfish invasive species USGS nonnative zip codes
gaia-1,0.7,4,4,0.484764,clownfish invasive species USGS nonnative locations before 2020,Finding Nemo pet fish species invasive nonnative USGS,Finding Nemo fish invasive species USGS nonnative locations,species of fish from the movie Finding Nemo nonnative distribution USGS
gaia-1,1.0,4,4,0.641553,clownfish invasive species nonnative zip codes site:usgs.gov,clownfish nonnative species site:usgs.gov,species fish Finding Nemo invasive USGS nonnative distribution zip codes,invasive species fish Finding Nemo USGS nonnative locations 2020
gaia-1,1.5,4,3,0.370370,invasive species fish Finding Nemo USGS nonnative locations,,site:usgs.gov nonnative fish species finding nemo,USGS nonnative invasive fish species Finding Nemo 2020
gaia-1,2.0,4,0,,,,,
gaia-10,0.0,4,4,0.083333,United States standards for grades of processed fruits and vegetables updates since 1959,United States standards for grades of processed fruits vegetables dehydrated section updates since 1959,United States standards for grades of processed fruits vegetables dehydrated section updates since 1959,United States standards for grades of processed fruits vegetables dehydrated section updates since 1959
gaia-10,0.3,4,4,0.349725,United States standards for processed fruits vegetables changes since 1959,United States standards for grades of processed fruits vegetables dehydrated section updates 2023,United States standards for grades of processed fruits vegetables dehydrated section updates since 1959,United States standards for processed fruits and vegetables updates since 1959
gaia-10,0.7,4,4,0.561461,percentage of USDA standards superseded since 1959 for processed fruits and vegetables,United States standards grades processed fruits vegetables dehydrated updated 2023,United States standards for grades of processed fruits vegetables updates since 1959,current status of USDA standards for processed fruits and vegetables since 1959
gaia-10,1.0,4,4,0.380184,current status of the 1959 United States standards for processed fruits and vegetables,United States standards grades processed fruits vegetables dehydrated updates 2023,United States standards grades processed fruits vegetables dehydrated August 2023 updates,United States standards for grades of processed fruits and vegetables 1959
gaia-10,1.5,4,4,0.505556,United States grade standards processed fruits vegetables dehydrated India's record changes significance superseded 1959 2023,Changes in U.S. standards for grades of processed fruits and vegetables since 1959,US standards for grades of processed fruits vegetables changes since 1959,1959 United States standards for grades of processed fruits vegetables dehydrated
gaia-10,2.0,4,0,,,,,
gaia-100,0.0,4,4,0.222222,Twitter X post citations Wikipedia August 2023 statistics,Twitter X post citations on Wikipedia August 2023 statistics,Twitter citations on Wikipedia August 2023 data,Twitter X post citations Wikipedia August 2023 statistics
gaia-100,0.3,4,4,0.000000,Twitter citations on Wikipedia August 2023 statistics,Twitter citations on Wikipedia August 2023 statistics,Twitter citations on Wikipedia August 2023 statistics,Twitter citations on Wikipedia August 2023 statistics
gaia-100,0.7,4,4,0.295503,Twitter citations on English Wikipedia for August 2023,Twitter X post citations English Wikipedia August 2023 statistics,Twitter citations on English Wikipedia pages for August 2023,Twitter citations on Wikipedia August 2023
gaia-100,1.0,4,4,0.409091,Twitter X post citations Wikipedia August 2023,Twitter X citations Wikipedia August 2023 June 2023,Twitter post citations English Wikipedia August 2023 data June versions,Twitter citations in Wikipedia August 2023 statistics
gaia-100,1.5,4,4,0.518415,Twitter citations on Wikipedia for August 2023,Twitter X post citations Wikipedia English pages June 2023 statistics August,Twitter wiki citation statistics August 2023,Twitter post citations on Wikipedia pages August 2023 statistics
gaia-100,2.0,4,0,,,,,
gaia-101,0.0,4,4,0.115385,sample standard deviations of Reference Works in Life Science and Health Sciences domains on ScienceDirect 2022,sample standard deviations of Reference Works in Life Science and Health Sciences 2022 site:sciencedirect.com,sample standard deviations of Reference Works in Life Science and Health Sciences domains on ScienceDirect 2022,sample standard deviations of Reference Works in Life Science and Health Sciences domains on ScienceDirect 2022
gaia-101,0.3,4,4,0.189103,sample standard deviations of Reference Works in Life Science domains compared to Health Sciences site:sciencedirect.com 2022,sample standard deviations of Reference Works in Life Science and Health Sciences on ScienceDirect 2022,sample standard deviations of Reference Works in Life Science and Health Sciences 2022 site:sciencedirect.com,sample standard deviations of Reference Works in Life Science and Health Sciences domains on ScienceDirect 2022
gaia-101,0.7,4,4,0.232726,sample standard deviations of Reference Works in Life Sciences and Health Sciences 2022 site:sciencedirect.com,sample standard deviations of Reference Works in Life Sciences and Health Sciences on ScienceDirect 2022,sample standard deviations of Reference Works in Life Science domains compared to Health Sciences site:sciencedirect.com 2022,sample standard deviations of Reference Works in Life Science and Health Sciences on ScienceDirect 2022
gaia-101,1.0,4,4,0.196318,sample standard deviations of Reference Works in Life Science vs Health Sciences site:sciencedirect.com,sample standard deviations of Reference Works in Life Science and Health Sciences site:sciencedirect.com 2022,sample standard deviations of Reference Works in Life Sciences and Health Sciences site:sciencedirect.com 2022,sample standard deviations of Reference Works in Life Science domains compared to Health Sciences site:sciencedirect.com 2022
gaia-101,1.5,4,3,0.333333,sample standard deviations of Reference Works in Life Science compared to Health Sciences 2022 site:springer.com OR site:jstor.org OR site:sciencedirect.com,difference in sample standard deviations of Reference Works in Life Science and Health Sciences on ScienceDirect 2022,sample standard deviations of the number of Reference Works in Life Science domain compared to Health Sciences site:sciencedirect.com 2022,
gaia-101,2.0,4,0,,,,,
gaia-102,0.0,4,4,0.000000,Michael Jackson sixth studio album and fifth single,Michael Jackson sixth studio album and fifth single,Michael Jackson sixth studio album and fifth single,Michael Jackson sixth studio album and fifth single
gaia-102,0.3,4,4,0.062500,Michael Jackson sixth studio album and fifth single,Michael Jackson sixth studio album fifth single lyrics,Michael Jackson sixth studio album and its fifth single,Michael Jackson sixth studio album and fifth single
gaia-102,0.7,4,4,0.273148,King of Pop fifth single sixth studio album,Michael Jackson sixth studio album fifth single title,Michael Jackson sixth studio album fifth single,Michael Jackson sixth studio album fifth single
