panel,x_label,x_value,condition,mean_passk,sem_passk
depth,T_cap,1,sequential,0.019417,0.013663
depth,T_cap,2,sequential,0.029126,0.016650
depth,T_cap,3,sequential,0.087379,0.027961
depth,T_cap,5,sequential,0.116505,0.031767
depth,T_cap,7,sequential,0.135922,0.033933
depth,T_cap,10,sequential,0.145631,0.034926
depth,T_cap,15,sequential,0.155340,0.035866
depth,T_cap,20,sequential,0.174757,0.037602
breadth,k,1,naive_parallel,0.133495,0.027120
breadth,k,2,naive_parallel,0.187702,0.033771
breadth,k,3,naive_parallel,0.225728,0.038951
breadth,k,4,naive_parallel,0.252427,0.043013
breadth,k,1,diversity_parallel,0.165049,0.027281
breadth,k,2,diversity_parallel,0.247573,0.035091
breadth,k,3,diversity_parallel,0.310680,0.041745
breadth,k,4,diversity_parallel,0.359223,0.047505
