# T3 paper diagnostic metrics — all per-run scalars from summary_T*.csv (read, not recomputed)
# Source: webwalkerqa/run/run_main_table.py compute_qpd / compute_itc / compute_atc
# QPD = Query Pairwise Diversity: mean Jaccard distance over all pairs of turn-1 queries across the k threads (per question, then averaged over questions)
# ITC = Inter-Turn Coherence: per thread, mean Jaccard similarity of turn-1 query vs each later turn's query; averaged over threads then questions
# ATC = Across-Thread Coherence (despite the name, this is a DISTANCE): per turn, mean pairwise Jaccard distance between threads' queries; averaged across turns and questions
# Sequential (k=1) writes 0.0 for all three metrics by construction (no pair to compare).
model,dataset,condition,k,seed,num_questions,QPD,ITC,ATC,source_dir
gemma3-12b,2wikimultihopqa,diversity_parallel,4,1,512,0.8848472578124998,0.0,0.8848472578124998,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/div_k4/run_1
gemma3-12b,2wikimultihopqa,diversity_parallel,4,2,512,0.8823183652343745,0.0,0.8823183652343745,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/div_k4/run_2
gemma3-12b,2wikimultihopqa,diversity_parallel,4,3,512,0.8827764238281249,0.00203062890625,0.8827764238281249,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/div_k4/run_3
gemma3-12b,2wikimultihopqa,diversity_parallel,8,1,512,0.823809837890626,0.02507921484375,0.8237045175781259,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/div_k8/run_1
gemma3-12b,2wikimultihopqa,diversity_parallel,8,2,512,0.829006642578126,0.0275092226562499,0.828933308593751,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/div_k8/run_2
gemma3-12b,2wikimultihopqa,diversity_parallel,8,3,512,0.8259249414062498,0.0275863359374999,0.8258403476562497,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/div_k8/run_3
gemma3-12b,2wikimultihopqa,naive_parallel,4,1,512,0.1367785546875,0.0,0.1367785546875,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/naive_k4/run_1
gemma3-12b,2wikimultihopqa,naive_parallel,4,2,512,0.1400195839843749,0.001220703125,0.1400195839843749,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/naive_k4/run_2
gemma3-12b,2wikimultihopqa,naive_parallel,4,3,512,0.132198640625,0.00133167578125,0.132198640625,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/naive_k4/run_3
gemma3-12b,2wikimultihopqa,naive_parallel,8,1,512,0.18840037890625,0.0720473808593749,0.188672419921875,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/naive_k8/run_1
gemma3-12b,2wikimultihopqa,naive_parallel,8,2,512,0.1912207089843751,0.04950893359375,0.1917151660156251,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/naive_k8/run_2
gemma3-12b,2wikimultihopqa,naive_parallel,8,3,512,0.1809399765625001,0.04165534375,0.1813457578125001,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/naive_k8/run_3
gemma3-12b,2wikimultihopqa,sequential,1,1,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/seq/run_1
gemma3-12b,2wikimultihopqa,sequential,1,2,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/seq/run_2
gemma3-12b,2wikimultihopqa,sequential,1,3,512,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/2wikimultihopqa/seq/run_3
gemma3-12b,GAIA,diversity_parallel,4,1,103,0.8324076310679617,0.2760633689320387,0.6695624466019414,main_table_clueweb_t8/gemma3-12b/GAIA/div_k4/run_1
gemma3-12b,GAIA,diversity_parallel,4,2,103,0.8276119417475731,0.2855285339805825,0.6583060776699028,main_table_clueweb_t8/gemma3-12b/GAIA/div_k4/run_2
gemma3-12b,GAIA,diversity_parallel,4,3,103,0.8372163203883495,0.2736886893203883,0.6754198349514561,main_table_clueweb_t8/gemma3-12b/GAIA/div_k4/run_3
gemma3-12b,GAIA,diversity_parallel,8,1,103,0.7962108252427189,0.2722220582524272,0.6546178349514564,main_table_clueweb_t8/gemma3-12b/GAIA/div_k8/run_1
gemma3-12b,GAIA,diversity_parallel,8,2,103,0.7791804951456315,0.2843456019417476,0.6438607281553398,main_table_clueweb_t8/gemma3-12b/GAIA/div_k8/run_2
gemma3-12b,GAIA,diversity_parallel,8,3,103,0.7871456796116503,0.2809489611650484,0.6489625339805822,main_table_clueweb_t8/gemma3-12b/GAIA/div_k8/run_3
gemma3-12b,GAIA,naive_parallel,4,1,103,0.2364559223300971,0.389101,0.4325109708737864,main_table_clueweb_t8/gemma3-12b/GAIA/naive_k4/run_1
gemma3-12b,GAIA,naive_parallel,4,2,103,0.2390229611650486,0.388515281553398,0.4234109514563107,main_table_clueweb_t8/gemma3-12b/GAIA/naive_k4/run_2
gemma3-12b,GAIA,naive_parallel,4,3,103,0.2525254174757281,0.3793099029126213,0.4405521165048543,main_table_clueweb_t8/gemma3-12b/GAIA/naive_k4/run_3
gemma3-12b,GAIA,naive_parallel,8,1,103,0.2261745145631068,0.3806440194174758,0.4291287184466018,main_table_clueweb_t8/gemma3-12b/GAIA/naive_k8/run_1
gemma3-12b,GAIA,naive_parallel,8,2,103,0.2458792524271844,0.3885312330097087,0.4294956213592234,main_table_clueweb_t8/gemma3-12b/GAIA/naive_k8/run_2
gemma3-12b,GAIA,naive_parallel,8,3,103,0.2557214563106796,0.3769438737864078,0.4444438155339807,main_table_clueweb_t8/gemma3-12b/GAIA/naive_k8/run_3
gemma3-12b,GAIA,sequential,1,1,103,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/GAIA/seq/run_1
gemma3-12b,GAIA,sequential,1,2,103,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/GAIA/seq/run_2
gemma3-12b,GAIA,sequential,1,3,103,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/GAIA/seq/run_3
gemma3-12b,bamboogle,diversity_parallel,4,1,125,0.926602944,0.154551864,0.7889559199999997,main_table_clueweb_t8/gemma3-12b/bamboogle/div_k4/run_1
gemma3-12b,bamboogle,diversity_parallel,4,2,125,0.929282696,0.1502139039999999,0.7881511519999996,main_table_clueweb_t8/gemma3-12b/bamboogle/div_k4/run_2
gemma3-12b,bamboogle,diversity_parallel,4,3,125,0.927066856,0.157691888,0.78791656,main_table_clueweb_t8/gemma3-12b/bamboogle/div_k4/run_3
gemma3-12b,bamboogle,diversity_parallel,8,1,125,0.8789283280000002,0.1678326,0.7588303279999999,main_table_clueweb_t8/gemma3-12b/bamboogle/div_k8/run_1
gemma3-12b,bamboogle,diversity_parallel,8,2,125,0.8842366559999998,0.165850744,0.7585347519999998,main_table_clueweb_t8/gemma3-12b/bamboogle/div_k8/run_2
gemma3-12b,bamboogle,diversity_parallel,8,3,125,0.8884896399999997,0.163846608,0.7675919360000001,main_table_clueweb_t8/gemma3-12b/bamboogle/div_k8/run_3
gemma3-12b,bamboogle,naive_parallel,4,1,125,0.185162272,0.2226816079999999,0.2853227999999999,main_table_clueweb_t8/gemma3-12b/bamboogle/naive_k4/run_1
gemma3-12b,bamboogle,naive_parallel,4,2,125,0.184846592,0.2172652879999999,0.2887418559999998,main_table_clueweb_t8/gemma3-12b/bamboogle/naive_k4/run_2
gemma3-12b,bamboogle,naive_parallel,4,3,125,0.166639808,0.2271114719999999,0.2913047439999998,main_table_clueweb_t8/gemma3-12b/bamboogle/naive_k4/run_3
gemma3-12b,bamboogle,naive_parallel,8,1,125,0.1787431199999999,0.226835344,0.286279792,main_table_clueweb_t8/gemma3-12b/bamboogle/naive_k8/run_1
gemma3-12b,bamboogle,naive_parallel,8,2,125,0.1825784879999999,0.2183626719999999,0.292309168,main_table_clueweb_t8/gemma3-12b/bamboogle/naive_k8/run_2
gemma3-12b,bamboogle,naive_parallel,8,3,125,0.1883406559999999,0.223245568,0.3037484239999999,main_table_clueweb_t8/gemma3-12b/bamboogle/naive_k8/run_3
gemma3-12b,bamboogle,sequential,1,1,125,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/bamboogle/seq/run_1
gemma3-12b,bamboogle,sequential,1,2,125,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/bamboogle/seq/run_2
gemma3-12b,bamboogle,sequential,1,3,125,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/bamboogle/seq/run_3
gemma3-12b,frames,diversity_parallel,4,1,824,0.8994548980582528,0.1709305424757282,0.756207655339806,main_table_clueweb_t8/gemma3-12b/frames/div_k4/run_1
gemma3-12b,frames,diversity_parallel,4,2,824,0.8998664223300971,0.1712902111650485,0.7537554162621358,main_table_clueweb_t8/gemma3-12b/frames/div_k4/run_2
gemma3-12b,frames,diversity_parallel,4,3,824,0.8997562196601957,0.1684026626213594,0.7556424259708735,main_table_clueweb_t8/gemma3-12b/frames/div_k4/run_3
gemma3-12b,frames,diversity_parallel,8,1,824,0.8538803446601946,0.1762181881067964,0.7358105169902914,main_table_clueweb_t8/gemma3-12b/frames/div_k8/run_1
gemma3-12b,frames,diversity_parallel,8,2,824,0.8516479429611651,0.1767557815533979,0.732892932038835,main_table_clueweb_t8/gemma3-12b/frames/div_k8/run_2
gemma3-12b,frames,diversity_parallel,8,3,824,0.849987245145631,0.1776031771844663,0.733153805825243,main_table_clueweb_t8/gemma3-12b/frames/div_k8/run_3
gemma3-12b,frames,naive_parallel,4,1,824,0.1903925837378641,0.2161365910194177,0.3865451577669901,main_table_clueweb_t8/gemma3-12b/frames/naive_k4/run_1
gemma3-12b,frames,naive_parallel,4,2,824,0.1837200861650484,0.215258150485437,0.379117166262136,main_table_clueweb_t8/gemma3-12b/frames/naive_k4/run_2
gemma3-12b,frames,naive_parallel,4,3,824,0.1855992354368929,0.2120538422330097,0.379270598300971,main_table_clueweb_t8/gemma3-12b/frames/naive_k4/run_3
gemma3-12b,frames,naive_parallel,8,1,824,0.189089327669903,0.216174462378641,0.3856914514563108,main_table_clueweb_t8/gemma3-12b/frames/naive_k8/run_1
gemma3-12b,frames,naive_parallel,8,2,824,0.1844927499999997,0.2143476140776699,0.3822726152912623,main_table_clueweb_t8/gemma3-12b/frames/naive_k8/run_2
gemma3-12b,frames,naive_parallel,8,3,824,0.1831123349514561,0.2080888919902912,0.3831662754854368,main_table_clueweb_t8/gemma3-12b/frames/naive_k8/run_3
gemma3-12b,frames,sequential,1,1,824,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/frames/seq/run_1
gemma3-12b,frames,sequential,1,2,824,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/frames/seq/run_2
gemma3-12b,frames,sequential,1,3,824,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-12b/frames/seq/run_3
gemma3-12b,hle,diversity_parallel,4,1,500,0.9011495959999998,0.2413363579999997,0.723088892000001,main_table_clueweb_t8/gemma3-12b/hle/div_k4/run_1
gemma3-12b,hle,diversity_parallel,4,2,500,0.9013864360000003,0.2373770519999999,0.7298426100000003,main_table_clueweb_t8/gemma3-12b/hle/div_k4/run_2
gemma3-12b,hle,diversity_parallel,4,3,500,0.9027303519999988,0.238518934,0.7280082640000004,main_table_clueweb_t8/gemma3-12b/hle/div_k4/run_3
gemma3-12b,hle,diversity_parallel,8,1,500,0.8603175459999997,0.2429598560000002,0.702180478,main_table_clueweb_t8/gemma3-12b/hle/div_k8/run_1
gemma3-12b,hle,diversity_parallel,8,2,500,0.8614359939999998,0.2409438819999999,0.7032170539999998,main_table_clueweb_t8/gemma3-12b/hle/div_k8/run_2
gemma3-12b,hle,diversity_parallel,8,3,500,0.8611706279999994,0.242063078,0.7036612559999998,main_table_clueweb_t8/gemma3-12b/hle/div_k8/run_3
gemma3-12b,hle,naive_parallel,4,1,500,0.3516917579999999,0.4114881080000003,0.480431112,main_table_clueweb_t8/gemma3-12b/hle/naive_k4/run_1
gemma3-12b,hle,naive_parallel,4,2,500,0.3543518280000002,0.4078180739999995,0.4802438379999996,main_table_clueweb_t8/gemma3-12b/hle/naive_k4/run_2
gemma3-12b,hle,naive_parallel,4,3,500,0.3481690520000003,0.417638986,0.4748514999999996,main_table_clueweb_t8/gemma3-12b/hle/naive_k4/run_3
gemma3-12b,hle,naive_parallel,8,1,500,0.3631118239999998,0.4148460079999997,0.4899004019999994,main_table_clueweb_t8/gemma3-12b/hle/naive_k8/run_1
gemma3-12b,hle,naive_parallel,8,2,500,0.3561666560000001,0.414368448,0.4877732400000001,main_table_clueweb_t8/gemma3-12b/hle/naive_k8/run_2
