condition,question_id,seed,rollout_i,rollout_j,d1,dT
naive_k4,gaia-1,1,0,1,0.000000,0.500000
naive_k4,gaia-1,1,0,2,0.714286,0.700000
naive_k4,gaia-1,1,0,3,0.285714,0.375000
naive_k4,gaia-1,1,1,2,0.714286,0.428571
naive_k4,gaia-1,1,1,3,0.285714,0.625000
naive_k4,gaia-1,1,2,3,0.500000,0.666667
naive_k4,gaia-100,1,0,1,0.111111,0.000000
naive_k4,gaia-100,1,0,2,0.384615,0.375000
naive_k4,gaia-100,1,0,3,0.384615,0.375000
naive_k4,gaia-100,1,1,2,0.461538,0.375000
naive_k4,gaia-100,1,1,3,0.461538,0.375000
naive_k4,gaia-100,1,2,3,0.285714,0.250000
naive_k4,gaia-101,1,0,1,0.266667,0.400000
naive_k4,gaia-101,1,0,2,0.153846,0.250000
naive_k4,gaia-101,1,0,3,0.153846,0.166667
naive_k4,gaia-101,1,1,2,0.153846,0.333333
naive_k4,gaia-101,1,1,3,0.153846,0.266667
naive_k4,gaia-101,1,2,3,0.000000,0.083333
naive_k4,gaia-102,1,1,2,0.000000,0.000000
naive_k4,gaia-102,1,1,3,0.000000,0.500000
naive_k4,gaia-102,1,2,3,0.000000,0.500000
naive_k4,gaia-110,1,0,1,0.000000,0.142857
naive_k4,gaia-110,1,0,2,0.000000,0.000000
naive_k4,gaia-110,1,0,3,0.000000,0.142857
naive_k4,gaia-110,1,1,2,0.000000,0.142857
naive_k4,gaia-110,1,1,3,0.000000,0.000000
naive_k4,gaia-110,1,2,3,0.000000,0.142857
naive_k4,gaia-111,1,0,1,0.818182,1.000000
naive_k4,gaia-111,1,0,2,0.666667,0.900000
naive_k4,gaia-111,1,0,3,0.818182,0.875000
naive_k4,gaia-111,1,1,2,0.428571,0.900000
naive_k4,gaia-111,1,1,3,0.000000,1.000000
naive_k4,gaia-111,1,2,3,0.428571,1.000000
naive_k4,gaia-117,1,2,3,0.600000,0.666667
naive_k4,gaia-118,1,0,1,0.333333,0.500000
naive_k4,gaia-118,1,0,2,0.333333,0.500000
naive_k4,gaia-118,1,0,3,0.333333,0.500000
naive_k4,gaia-118,1,1,2,0.000000,0.000000
naive_k4,gaia-118,1,1,3,0.000000,0.000000
naive_k4,gaia-118,1,2,3,0.000000,0.000000
naive_k4,gaia-12,1,0,1,0.571429,0.615385
naive_k4,gaia-12,1,0,2,0.000000,0.333333
