model,dataset,condition,k,seed,passk,extrapolated
qwen3-8b,gaia,sequential,1,1,0.1553,False
qwen3-8b,gaia,sequential,1,2,0.1359,False
qwen3-8b,gaia,sequential,1,3,0.1068,False
qwen3-8b,gaia,naive,2,1,0.0971,False
qwen3-8b,gaia,naive,2,2,0.0971,False
qwen3-8b,gaia,naive,2,3,0.1068,False
qwen3-8b,gaia,s3,2,1,0.0777,False
qwen3-8b,gaia,s3,2,2,0.0777,False
qwen3-8b,gaia,s3,2,3,0.0971,False
qwen3-8b,gaia,naive,4,1,0.2233,False
qwen3-8b,gaia,naive,4,2,0.2524,False
qwen3-8b,gaia,naive,4,3,0.2427,False
qwen3-8b,gaia,s3,4,1,0.3204,False
qwen3-8b,gaia,s3,4,2,0.233,False
qwen3-8b,gaia,s3,4,3,0.233,False
qwen3-8b,gaia,naive,8,1,0.27183495145631076,True
qwen3-8b,gaia,naive,8,2,0.28152621359223307,True
qwen3-8b,gaia,naive,8,3,0.2621087378640777,True
qwen3-8b,gaia,s3,8,1,0.32036990291262135,True
qwen3-8b,gaia,s3,8,2,0.38838737864077666,True
qwen3-8b,gaia,s3,8,3,0.330126213592233,True
