dataset,qid,seed,overlap,qpd,pass4
musique,musique-2551,1,0.75,0.125,False
musique,musique-446,1,0.25,0.3636363636363636,True
musique,musique-1675,1,1.0,0.0,False
musique,musique-1329,1,0.75,0.08333333333333331,False
musique,musique-81,1,1.0,0.0,False
musique,musique-1362,1,1.0,0.0,True
musique,musique-68,1,0.2333333333333333,0.15079365079365079,False
musique,musique-1108,1,0.39999999999999997,0.37906746031746036,True
musique,musique-3168,1,0.75,0.09999999999999998,True
musique,musique-2589,1,1.0,0.0,False
musique,musique-986,1,0.6,0.25,False
musique,musique-2687,1,0.06666666666666667,0.3481837606837607,False
musique,musique-513,1,1.0,0.0,False
musique,musique-2560,1,0.5,0.47222222222222215,False
musique,musique-1318,1,0.3333333333333333,0.3685185185185185,False
musique,musique-2198,1,1.0,0.0,False
musique,musique-2296,1,0.6666666666666666,0.16666666666666666,True
musique,musique-2171,1,0.19999999999999998,0.6668582105888609,False
musique,musique-3087,1,0.4666666666666666,0.051282051282051246,False
musique,musique-415,1,0.75,0.15598845598845598,True
musique,musique-2781,1,1.0,0.0,True
musique,musique-696,1,0.5,0.409090909090909,False
musique,musique-178,1,0.75,0.35925925925925933,True
musique,musique-1494,1,1.0,0.0,False
musique,musique-2533,1,1.0,0.0,False
musique,musique-424,1,1.0,0.0,False
musique,musique-2219,1,0.38333333333333336,0.33085541909071325,False
musique,musique-1856,1,1.0,0.0,False
musique,musique-2621,1,0.6000000000000001,0.4189958592132505,True
musique,musique-2564,1,1.0,0.0,False
musique,musique-1640,1,1.0,0.0,False
musique,musique-1724,1,1.0,0.0,False
musique,musique-517,1,1.0,0.0,False
musique,musique-1233,1,0.3,0.31806722689075634,False
musique,musique-2394,1,0.75,0.2777777777777778,True
musique,musique-911,1,0.75,0.125,False
musique,musique-2009,1,1.0,0.0,False
musique,musique-2263,1,1.0,0.0,True
musique,musique-2228,1,0.6,0.25,False
musique,musique-1698,1,1.0,0.0,False
musique,musique-2864,1,1.0,0.0,False
musique,musique-544,1,1.0,0.0,False
musique,musique-973,1,1.0,0.0,False
musique,musique-1961,1,0.75,0.0625,True
musique,musique-601,1,1.0,0.0,False
