# T3 paper plot-ready diagnostic metrics — per-seed, both groups in one file
# group: mhqa = ClueWeb runs on hotpotqa/musique/2wiki/bamboogle/frames (5 datasets × 5 models)
#        reasoning = Serper runs on gaia/hle/webwalker (3 datasets × 4 models)
# condition: naive_k4 | div_k4 | naive_k8 | div_k8 (k=4 or k=8 parallel only)
# seeds: 1, 2, 3 (consistent across cells; older 5-seed runs trimmed for fair error bars)
# Paper-facing rename (from metric_names.txt): QPD, ITC, ATC column = ATD
group,model,dataset,condition,k,seed,num_questions,QPD,ITC,ATC
mhqa,gemma3-12b,2wikimultihopqa,div_k4,4,1,512,0.8848472578124998,0.0,0.8848472578124998
mhqa,gemma3-12b,2wikimultihopqa,div_k4,4,2,512,0.8823183652343745,0.0,0.8823183652343745
mhqa,gemma3-12b,2wikimultihopqa,div_k4,4,3,512,0.8827764238281249,0.00203062890625,0.8827764238281249
mhqa,gemma3-12b,2wikimultihopqa,div_k8,8,1,512,0.823809837890626,0.02507921484375,0.8237045175781259
mhqa,gemma3-12b,2wikimultihopqa,div_k8,8,2,512,0.829006642578126,0.0275092226562499,0.828933308593751
mhqa,gemma3-12b,2wikimultihopqa,div_k8,8,3,512,0.8259249414062498,0.0275863359374999,0.8258403476562497
mhqa,gemma3-12b,2wikimultihopqa,naive_k4,4,1,512,0.1367785546875,0.0,0.1367785546875
mhqa,gemma3-12b,2wikimultihopqa,naive_k4,4,2,512,0.1400195839843749,0.001220703125,0.1400195839843749
mhqa,gemma3-12b,2wikimultihopqa,naive_k4,4,3,512,0.132198640625,0.00133167578125,0.132198640625
mhqa,gemma3-12b,2wikimultihopqa,naive_k8,8,1,512,0.18840037890625,0.0720473808593749,0.188672419921875
mhqa,gemma3-12b,2wikimultihopqa,naive_k8,8,2,512,0.1912207089843751,0.04950893359375,0.1917151660156251
mhqa,gemma3-12b,2wikimultihopqa,naive_k8,8,3,512,0.1809399765625001,0.04165534375,0.1813457578125001
mhqa,gemma3-12b,bamboogle,div_k4,4,1,125,0.926602944,0.154551864,0.7889559199999997
mhqa,gemma3-12b,bamboogle,div_k4,4,2,125,0.929282696,0.1502139039999999,0.7881511519999996
mhqa,gemma3-12b,bamboogle,div_k4,4,3,125,0.927066856,0.157691888,0.78791656
mhqa,gemma3-12b,bamboogle,div_k8,8,1,125,0.8789283280000002,0.1678326,0.7588303279999999
mhqa,gemma3-12b,bamboogle,div_k8,8,2,125,0.8842366559999998,0.165850744,0.7585347519999998
mhqa,gemma3-12b,bamboogle,div_k8,8,3,125,0.8884896399999997,0.163846608,0.7675919360000001
